signature,size,buggy_gen,state+fault,interval,commits,churn
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^166^203+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^238^267,38,False,C_N^I_Y,M_N^W_Y,fd8d091^8c6292c^a44b6f9,8^13
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^45^67+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^137^163,27,False,C_N^I_Y,M_N^W_Y,fd8d091^8c6292c^a44b6f9,2^9
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^45^67+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^178^203,26,False,C_N^I_Y,M_N^W_Y,fd8d091^8c6292c^a44b6f9,2^10
maven-archiver/src/main/java/org/apache/maven/archiver/MavenArchiver.java^48^134+maven-plugins/maven-jar-plugin/src/main/java/org/apache/maven/plugin/jar/AbstractJarMojo.java^47^152,106,True,C_Y^I_N,W_Y^D_N,323eecf^a44b6f9^de167c3,71^13
maven-archiver/src/main/java/org/apache/maven/archiver/MavenArchiver.java^79^168+maven-plugins/maven-jar-plugin/src/main/java/org/apache/maven/plugin/jar/AbstractJarMojo.java^78^167,90,True,I_Y,W_Y,323eecf^a44b6f9,97
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^230^264+maven-mboot2/src/main/java/MBoot.java^186^220,35,True,I_N^I_N^I_N^I_N^I_N^I_Y^I_N^I_N^I_N^I_N^I_N^I_N,W_N^D_N^D_N^Y_N^W_N^M_Y^M_N^Y_N^D_N^Y_N^W_N^D_N,b748d06^e9a9323^c863909^17b770a^840d963^d4c0592^9d7e54c^fc0ec82^98066ab^8400eee^fedf519^355edf8^9b9b349,14^4^2^24^2^13^8^6^2^13^13^55
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^578^618+maven-mboot2/src/main/java/MBoot.java^1353^1394,42,True,C_N^I_N^I_N^I_N^I_N^I_Y^I_Y^I_N,W_N^D_N^D_N^M_N^Y_N^M_Y^M_Y^Y_N,b748d06^e9a9323^c863909^99b5fe6^1398ab6^678919a^9d7e54c^26d36d8^26f56f9,74^65^15^15^37^77^4^4
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^574^604+maven-mboot2/src/main/java/MBoot.java^1372^1403,32,True,C_N^C_N^I_Y^I_Y^I_N,D_N^M_N^Y_Y^M_Y^Y_N,c863909^99b5fe6^1398ab6^9d7e54c^26d36d8^26f56f9,2^9^45^4^4
maven-archetype/maven-archetypes/maven-archetype-mojo/src/main/resources/archetype-resources/src/main/java/MyMojo.java^38^77+maven-core-it-plugin/src/main/java/org/apache/maven/plugin/coreit/CoreItMojo.java^54^93,40,True,I_N^I_N^I_N^I_N^I_N^I_Y^I_Y^I_N^I_Y^I_Y^I_Y,W_N^D_N^D_N^M_N^M_N^W_Y^M_Y^M_N^Y_Y^Y_Y^M_Y,a53bf28^68f8dee^7b1f2de^4b75d55^f4ecf6b^91467d5^a75e7d2^a58632b^6557e2d^8dec282^73e549b^b69490b,52^33^2^58^7^2^8^6^2^17^5
maven-repository-tools/src/main/java/org/apache/maven/converter/PomV3ToV4Converter.java^720^804+sandbox/repoclean/src/main/java/org/apache/maven/tools/repoclean/translate/PomV3ToV4Translator.java^365^451,87,False,C_Y^I_N^I_N,W_Y^Y_N^W_N,fcb311e^80880d0^34c964a^7893c7e,3^6^2
maven-artifact/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java^141^162+maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^141^162,22,True,C_Y,W_Y,52d4ebc^14bb2c8,4
maven-artifact/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java^141^162+maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^178^199,22,True,C_Y,W_Y,52d4ebc^14bb2c8,4
maven-artifact/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java^178^199+maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^141^162,22,True,C_Y,W_Y,52d4ebc^14bb2c8,4
maven-artifact/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java^178^199+maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^178^199,22,True,C_Y,W_Y,52d4ebc^14bb2c8,4
maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^141^162+maven-artifact/src/test/java/org/apache/maven/artifact/resolver/NewLayoutArtifactResolverTest.java^178^199,22,True,C_Y,W_Y,52d4ebc^14bb2c8,4
